"","x"
"1","CAXII"
"2","CENPN"
"3","CRYBB2"
"4","CTNNBL1"
"5","DSC2"
"6","EDG1"
"7","ERBB4"
"8","ESR1"
"9","FAM210A"
"10","GSKIP"
"11","HYMAI"
"12","IL10RA"
"13","LECT2"
"14","MELK"
"15","PAPPA"
"16","PDHA1"
"17","PTGDS"
"18","RABEP1"
"19","RERG"
"20","SOD1"
"21","SOD2"
"22","TBC1D9"
"23","TGFB1"
"24","ARID1B"
"25","C7orf23"
"26","CETN1"
"27","CRMP1"
"28","EGFR"
"29","GATA3"
"30","IL6ST"
"31","MSX1"
"32","NAT2"
"33","RIPK1"
"34","BL2a"
