"","Genes","Beta"
"1","BL2a","-0.001"
"2","BRCA1","-0.005"
"3","C7orf23","-0.046"
"4","CAXII","-0.021"
"5","CETN1","0.074"
"6","ERBB4","-0.007"
"7","FAM210A","0.003"
"8","IL10","-0.03"
"9","IL10RA","-0.007"
"10","PAPPA","-0.002"
"11","RERG","-0.018"
"12","SCUBE2","0.006"
"13","TBC1D9","-0.004"
"14","TRIM29","1.802"
