"","x"
"1","CAXII"
"2","CENPN"
"3","CRYBB2"
"4","ERBB4"
"5","ESR1"
"6","FAM210A"
"7","IL10RA"
"8","NCOA1"
"9","PAPPA"
"10","PDHA1"
"11","RABEP1"
"12","RERG"
"13","SOD2"
"14","TBC1D9"
"15","ARID1B"
"16","BL2a"
"17","MSX1"
