"","x"
"1","BL2a"
"2","CAXII"
"3","CENPN"
"4","ERBB4"
"5","ESR1"
"6","FAM210A"
"7","PAPPA"
"8","PDHA1"
"9","RERG"
"10","TBC1D9"
"11","ARID1B"
"12","EGFR"
