"","x"
"1","CAXII"
"2","CENPN"
"3","CRYBB2"
"4","PDHA1"
"5","TBC1D9"
"6","ARID1B"
"7","ATAD2"
"8","BL2a"
"9","CETN1"
"10","CHRNA7"
"11","CMTM7"
"12","COMT"
"13","DSC2"
"14","EDG1"
"15","ESR1"
"16","FAM210A"
"17","IRF2"
"18","LECT2"
"19","LRBA"
"20","NCOA1"
"21","PAPPA"
"22","PLK1"
"23","RABEP1"
"24","RERG"
"25","RIPK1"
"26","SCUBE2"
"27","TPBG"
"28","TRAPPC2L"
"29","TRIM29"
"30","VEGFA.TV2"
"31","XBP1"
"32","HBEGF"
"33","KDR"
"34","SOD2"
