"","x"
"1","CAPSL"
"2","CAXII"
"3","CENPA"
"4","CENPN"
"5","CRYBB2"
"6","ERBB4"
"7","ESR1"
"8","FAM210A"
"9","HYMAI"
"10","IL10RA"
"11","LECT2"
"12","NCOA1"
"13","PAPPA"
"14","PDHA1"
"15","RABEP1"
"16","RERG"
"17","SOD1"
"18","SOD2"
"19","TBC1D9"
"20","ARID1B"
"21","BL2a"
"22","C7orf23"
"23","CMTM7"
"24","CRMP1"
"25","MSX1"
"26","NAT2"
"27","IL6ST"
