"","Genes","Beta"
"1","BL2a","-0.016"
"2","BRCA1","-0.667"
"3","C7orf23","-0.601"
"4","CAXII","-0.955"
"5","CETN1","0.34"
"6","CTNNBL1","0.006"
"7","ERBB4","-0.037"
"8","FAM210A","0.028"
"9","HYMAI","0.022"
"10","IL10","-0.067"
"11","IL10RA","-0.002"
"12","IRF2","0"
"13","MELK","-0.003"
"14","PAPPA","-0.007"
"15","RABEP1","0.006"
"16","RERG","-0.514"
"17","SCUBE2","0.097"
"18","TBC1D9","-0.006"
"19","TCEAL1","0.007"
"20","TRIM29","1.189"
"21","VEGFA.TV2","-0.003"
"22","XBP1","0.006"
