"","Genes","Beta"
"1","ARID1B","0.534"
"2","BL2a","-0.292"
"3","BRCA1","-0.112"
"4","C7orf23","-0.888"
"5","CAXII","-0.789"
"6","CTNNBL1","0.079"
"7","ERBB4","-0.685"
"8","ESR1","-0.455"
"9","IL10","-0.676"
"10","IL10RA","-0.376"
"11","LECT2","1.414"
"12","MSX1","0.084"
"13","NCOA1","-1.114"
"14","RABEP1","0.095"
"15","RERG","-1.108"
"16","SCUBE2","0.082"
"17","TRIM29","0.88"
