"","x"
"1","CAXII"
"2","CENPN"
"3","CRYBB2"
"4","ERBB4"
"5","ESR1"
"6","FAM210A"
"7","IL10RA"
"8","PDHA1"
"9","RERG"
"10","TBC1D9"
"11","ARID1B"
"12","ATAD2"
"13","BL2a"
"14","CETN1"
"15","CMTM7"
"16","NCOA1"
"17","PAPPA"
"18","RIPK1"
"19","KDR"
