"","x"
"1","APOC1"
"2","BL2a"
"3","CAPSL"
"4","CAXII"
"5","CENPN"
"6","COMT"
"7","CRYBB2"
"8","CTNNBL1"
"9","ERBB4"
"10","ESR1"
"11","FAM210A"
"12","HYMAI"
"13","IL10RA"
"14","NCOA1"
"15","PAPPA"
"16","PDHA1"
"17","RERG"
"18","TBC1D9"
"19","THAP4"
"20","TRAPPC2L"
"21","TRIM29"
"22","ARID1B"
"23","ATAD2"
"24","CMTM7"
"25","CRMP1"
"26","DSC2"
"27","EDG1"
"28","EGFR"
"29","IL10"
"30","NAT2"
"31","RIPK1"
"32","XBP1"
"33","IRF2"
"34","KDR"
"35","PTP4A2"
"36","SOD2"
