"","x"
"1","CAXII"
"2","CENPN"
"3","CRYBB2"
"4","EDG1"
"5","ERBB4"
"6","ESR1"
"7","GSKIP"
"8","LECT2"
"9","PAPPA"
"10","PTGDS"
"11","RABEP1"
"12","RERG"
"13","MSX1"
