"","Genes","Beta"
"1","BL2a","-2.115"
"2","BRCA1","-0.352"
"3","BRCA2","-0.994"
"4","C7orf23","-0.031"
"5","CAXII","-0.014"
"6","CD34","-0.02"
"7","EDG1","-0.015"
"8","ERBB4","-0.006"
"9","ESR1","-0.018"
"10","IRF2","-1.253"
"11","NAT2","-0.293"
"12","NCOA1","-0.01"
"13","PAPPA","-0.026"
"14","PDHA1","0.005"
"15","PFKP","0.002"
"16","PTGDS","-0.014"
"17","RERG","-0.029"
"18","TGFBR1","-0.034"
"19","TPBG","0.014"
"20","YTHDC2","-0.005"
