Author,Ne,Age,TimeToSex,WashoutTime,Mc,Sc,Me,Se,SMD
Zavorsky et al. (2019),8,28,7.6,1,111,31,109,32,-0.06
Zavorsky & Newton (2018),9,28,24,5,54.6,2.5,55.5,5.9,0.36
Sztajzel et al. (2000),15,29,10,2,4.55,0.55,4.65,0.6,0.18
Boone & Gilmore (1995),11,26,12,7,3.53,0.7,3.43,0.68,-0.14
