Author,Ne,Age,TimeToSex,WashoutTime,Mc,Sc,Me,Se,SMD
Zavorsky et al. (2019),8,28,7.6,1,33,15,32,16,-0.07
Valenti et al. (2018),12,26,12,5,159.4,35.2,163.2,30.8,0.11
