"","1%","1.5%","2%","2.5%","3%","3.5%","4%","4.5%","5%","5.5%","6%","6.5%","7%","7.5%","8%","8.5%","9%","9.5%","10%"
"n_pos",35,52,70,87,105,122,140,157,175,192,210,227,244,262,280,297,315,332,349
"n_neg",35,52,70,87,105,122,140,157,175,192,210,227,244,262,280,297,315,332,349
"n_na",300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
"n_test",3130,3096,3060,3026,2990,2956,2920,2886,2850,2816,2780,2746,2712,2676,2640,2606,2570,2536,2502
