"","1%","1.5%","2%","2.5%","3%","3.5%","4%","4.5%","5%"
"n_pos",35,52,70,87,105,122,140,157,175
"n_neg",35,52,70,87,105,122,140,157,175
"n_na",100,100,100,100,100,100,100,100,100
"n_test",3330,3296,3260,3226,3190,3156,3120,3086,3050
