"","1","1.5","2","2.5","3","3.5","4","4.5","5","5.5","6","6.5","7","7.5","8","8.5","9","9.5","10"
"precision sup",0.219686498172937,0.249268251511368,0.279392363328348,0.354638214481394,0.352413636113255,0.355789819448073,0.322547877980674,0.385782896580149,0.441347857487167,0.478069659948276,0.433694061149111,0.347492522231614,0.42357202670372,0.39587392939414,0.407461537142964,0.387415216683124,0.420613359215005,0.386123282734622,0.482740524566402
"recall sup",0.487877169559413,0.486273712737127,0.575378266850069,0.416564245810056,0.0601416430594901,0.0526293103448276,0.0568613138686131,0.0969139465875371,0.0564102564102564,0.0316564417177914,0.0477881619937695,0.0784335443037975,0.0255877616747182,0.0237704918032787,0.0497996661101836,0.0470238095238095,0.0447750865051903,0.0376014109347443,0.0350269299820467
"f-measure sup",0.187655396776393,0.183330441973425,0.218936085463147,0.163065999108076,0.0425088010445474,0.0503792097556777,0.0328107536920677,0.0504228712774014,0.0332896328325098,0.0234063962597532,0.036937738729412,0.0490991420522317,0.0207424182463855,0.0202639895192609,0.0290224237274642,0.0308602577462392,0.0328249990125702,0.021053880203794,0.0243737266523435
"precision Semi",0.294117647058824,0.183496826312752,0.199275362318841,0.189438390611903,0.284306292645944,0.251824817518248,0.274242424242424,0.277082199237888,0.279796511627907,0.281004709576138,0.275964391691395,0.260416666666667,0.276790248857288,0.245258338783519,0.250945775535939,0.249533291848164,0.271679197994987,0,0.249303621169916
"recall Semi",0.465879265091864,0.419525065963061,0.0729442970822281,0.301333333333333,0.502680965147453,0.278600269179004,0.734776725304465,0.692517006802721,0.526675786593707,0.492434662998624,0.771784232365145,0.590277777777778,0.761173184357542,0.526685393258427,0.281073446327684,0.569602272727273,0.774285714285714,0,0.516594516594517
"f-measure Semi",0.360589131538852,0.25531914893617,0.106796116504854,0.232629953679876,0.36319612590799,0.264536741214058,0.399411548363369,0.395800933125972,0.365448504983389,0.357821089455272,0.40655737704918,0.361394557823129,0.405959031657356,0.334672021419009,0.265156562291806,0.34703591518823,0.402226345083488,0,0.336308125880695
