"","1","1.5","2","2.5","3","3.5","4","4.5","5","5.5","6","6.5","7","7.5","8","8.5","9","9.5","10"
"precision sup",0.285545994785943,0.27628731937771,0.325636640412256,0.284780377963895,0.307755948307125,0.317038174703422,0.318916158171321,0.302271653445425,0.339752954678492,0.344578404503061,0.341937940769026,0.32962093416625,0.353083255043276,0.318035681152268,0.273998640434943,0.32776448827753,0.32347505930755,0.302941115887868,0.315272206457788
"recall sup",0.146038681705789,0.21972972972973,0.307027649769585,0.382632293080054,0.427491086507788,0.47045633924087,0.471018351630346,0.498624105668685,0.425883405977584,0.435807138820051,0.505470332850941,0.519018653690187,0.464715225777173,0.564563492063492,0.628254847645429,0.595116514690983,0.52536638020509,0.664950904392765,0.552671585065951
"f-measure sup",0.247458922561638,0.310679368152636,0.31395078882386,0.343165042262406,0.286193404446445,0.291565551962999,0.30796996989915,0.30619299756769,0.280276723087691,0.285265266876285,0.307955382561472,0.303279037994372,0.315847325366409,0.322876448053774,0.33808069222137,0.310253629343747,0.314259604455088,0.342931393591224,0.334231485362752
"precision Semi",0.271981242672919,0.073394495412844,0.256563245823389,0.16,0.267253044654939,0.216132368148914,0.259450171821306,0.272366930917327,0.259763313609467,0.259894459102902,0.275760549558391,0.270422535211268,0.2768,0.276295133437991,0.258402203856749,0.265352112676056,0.274193548387097,0.203513909224012,0.251572327044025
"recall Semi",0.608923884514436,0.0105540897097625,0.570291777188329,0.00533333333333333,0.529490616621984,0.843876177658143,0.612990527740189,0.654421768707483,0.600547195622435,0.541953232462173,0.77731673582296,0.666666666666667,0.724860335195531,0.741573033707865,0.662429378531073,0.669034090909091,0.704285714285714,0.998563218390805,0.634920634920635
"f-measure Semi",0.376012965964344,0.0184544405997693,0.353909465020576,0.0103225806451613,0.35521582733813,0.344127332601537,0.364587525150905,0.384646141543383,0.362660057827344,0.351315202853321,0.407098877218399,0.384769539078156,0.400617522192204,0.402592451391536,0.371779627427665,0.379991932230738,0.394715772618094,0.338117246412065,0.36036036036036
