"","1","1.5","2","2.5","3","3.5","4","4.5","5","5.5","6","6.5","7","7.5","8","8.5","9","9.5","10"
"precision sup",0.320823696878523,0.325034334398837,0.310221802972213,0.316601646654996,0.366603504908531,0.387813676439601,0.358030780395654,0.350539399933215,0.36901755426586,0.364897945756815,0.386466513963096,0.405952101388672,0.366322884276712,0.361178913589925,0.346274570834152,0.348916614321913,0.320510484583586,0.34915711396475,0.36124427347949
"recall sup",0.213658388855239,0.336935931263108,0.433955839128253,0.483372549019608,0.389977314910291,0.425696241846982,0.456562922868742,0.51461062036755,0.564825340552205,0.521816582857916,0.532275854824308,0.42707264957265,0.56459018902579,0.569658728827771,0.620136070661256,0.596590909090909,0.676027397260274,0.620597553787209,0.581004853732126
"f-measure sup",0.31909532552661,0.293949282777893,0.357644943766254,0.344752067367641,0.292848388831021,0.271843672016645,0.315698684904394,0.309401204922278,0.321466701243847,0.3335538161733,0.313106693995755,0.288031580144188,0.349900459644964,0.319535436807925,0.351402392891402,0.339671709771922,0.362104782603748,0.352540674767399,0.338132369854517
"precision Semi",0.229306598031573,0.239911553083317,0.243691529783481,0.236685110857576,0.242221552634447,0.248984618122205,0.249634098629037,0.254382006605906,0.255153511576503,0.255716024678775,0.24759785246712,0.254085186880387,0.26019113435642,0.258921132505212,0.257545812540847,0.246465501045371,0.256052160407733,0.255440048821342,0.255950016299346
"recall Semi",0.412309711286089,0.440646437994723,0.486220159151194,0.483413333333333,0.517533512064343,0.569771197846568,0.534506089309878,0.600789115646258,0.594733242134063,0.586437414030261,0.584412171507607,0.641027777777778,0.611997206703911,0.603483146067416,0.635536723163842,0.65625,0.630808080808081,0.651761871589458,0.606512454997303
"f-measure Semi",0.281740492160353,0.296269004060855,0.313036039741302,0.304217503313622,0.320754714587482,0.338130202864078,0.327148596822069,0.340568762094531,0.342068805046386,0.34108364163193,0.331671384127672,0.352148356710956,0.340393625887846,0.336540820656705,0.344065114031335,0.34041339942119,0.336863435244819,0.350620537414065,0.328921543588104
