"","1","1.5","2","2.5","3","3.5","4","4.5","5","5.5","6","6.5","7","7.5","8","8.5","9","9.5","10"
"precision sup",0.270732435448359,0.280399234343397,0.282832793390497,0.285333484511702,0.29401636779115,0.293579017764406,0.294305666518533,0.295932346592288,0.297961476794572,0.298457346632688,0.30232371782404,0.302683805346843,0.303619272338936,0.304904350352447,0.305005347321662,0.306255329882008,0.305870403324196,0.306011508886082,0.305898573460691
"recall sup",0.359422572178478,0.463139841688654,0.501909814323607,0.6016,0.653994638069705,0.682328398384926,0.640351826792963,0.689619047619048,0.691956224350205,0.700591471801926,0.686348547717842,0.699430555555556,0.678519553072626,0.686769662921348,0.688686440677966,0.696122159090909,0.702242857142857,0.701695402298851,0.697186147186147
"f-measure sup",0.383554045816664,0.391669578747331,0.397471429329053,0.403431862696404,0.410678623515758,0.410150848095164,0.410597887396642,0.413740046458588,0.416167367908129,0.417847597271229,0.421014150760469,0.422444594853846,0.423387736647781,0.424884815640123,0.425328653873955,0.426637263746397,0.426094707168644,0.426132546191099,0.426477390941917
"precision Semi",0.243524027459954,0.248510882016037,0.252603211009174,0.247261768082664,0.250758620689655,0.252554660529344,0.252937788018433,0.251955017301038,0.254711316397229,0.255618497109827,0.25291087962963,0.255616676317313,0.257501449275362,0.257945443993035,0.259837303893085,0.257649796393252,0.259912638322656,0.259463556851312,0.260939871570344
"recall Semi",0.558635170603675,0.572427440633245,0.584270557029178,0.574306666666667,0.584879356568365,0.590767160161507,0.594181326116374,0.594408163265306,0.603502051983584,0.60828060522696,0.604467496542185,0.613125,0.620377094972067,0.624213483146067,0.631610169491525,0.629119318181818,0.637528571428571,0.63933908045977,0.645007215007215
"f-measure Semi",0.339187250996016,0.346565495207668,0.35271417133707,0.345690208667737,0.351021721641191,0.353841193067312,0.354828282828283,0.353900364520049,0.358229801055623,0.35996743996744,0.356613627090983,0.360809154066204,0.363941007783695,0.365043121149897,0.36820090572252,0.365579859678085,0.369275961936285,0.369124844462878,0.371562759767249
