"","1","1.5","2","2.5","3","3.5","4","4.5","5","5.5","6","6.5","7","7.5","8","8.5","9","9.5","10"
"precision sup",0.304235093789321,0.306230050860881,0.337773878362628,0.300481189565457,0.313392881041567,0.301389459233918,0.317943846961721,0.323602186059119,0.324164856670496,0.316665046550928,0.340758372625344,0.317777771994283,0.327414993595958,0.302975485302428,0.317472748056724,0.31595207450737,0.337745311374627,0.306821665177833,0.330086348465144
"recall sup",0.0418424566088118,0.0742411924119241,0.0298624484181568,0.106340782122905,0.152762039660057,0.161566091954023,0.166481751824818,0.152937685459941,0.125475113122172,0.179907975460123,0.13196261682243,0.112215189873418,0.219436392914654,0.185491803278689,0.142103505843072,0.200034013605442,0.150346020761246,0.17978835978836,0.144847396768402
"f-measure sup",0.160151098942193,0.192192953513326,0.161480117986357,0.185927489558805,0.186560577883649,0.186504964393757,0.192633451826003,0.181016510086937,0.172631894222601,0.200607679750049,0.186561512322989,0.163873375871694,0.211158931725107,0.184362776085303,0.164942900848285,0.203817835754962,0.151652391615317,0.198091976894062,0.176351360315133
"precision Semi",0.281932187645146,0.218387197991842,0.256907701352146,0.202185792349727,0.243608473338203,0.214574898785425,NA,0.254655870445344,0.248432601880878,0.239225712198685,0.245863793766833,0.255607278882776,0.267100977198697,0.260334212840809,0.26176927056389,0.262915129151292,0.257718120805369,0.256392536281963,0.231797919762259
"recall Semi",0.796587926509186,0.91820580474934,0.579575596816976,0.493333333333333,0.894101876675603,0.499327052489906,0,0.85578231292517,0.867305061559507,0.900962861072902,0.883817427385892,0.838888888888889,0.801675977653631,0.831460674157303,0.714689265536723,0.809659090909091,0.822857142857143,0.533045977011494,0.9004329004329
"f-measure Semi",0.416466552315609,0.352851711026616,0.356008146639511,0.286821705426357,0.382893226176808,0.300161812297735,NA,0.392511700468019,0.386232104782211,0.378066378066378,0.384708007224563,0.39182614336685,0.400698080279232,0.396517079705291,0.383188186293071,0.396935933147632,0.392504258943782,0.346243583761083,0.368685376661743
