"","1","1.5","2","2.5","3","3.5","4","4.5","5","5.5","6","6.5","7","7.5","8","8.5","9","9.5","10"
"precision sup",0.239460470882494,0.240857674395815,0.241923783016675,0.242997069640748,0.250708092279882,0.243872102293067,0.246602018843821,0.250470023199019,0.243582006667349,0.246773101134692,0.245194940862585,0.23764523436922,0.239201585545017,0.238024244677452,0.233437742976089,0.234333085738754,0.234909029238107,0.228883593969884,0.228864552135702
"recall sup",0.300146862483311,0.313455284552846,0.283851444291609,0.377821229050279,0.574220963172805,0.582658045977012,0.593883211678832,0.565741839762611,0.601025641025641,0.588450920245399,0.622819314641745,0.561107594936709,0.616296296296296,0.622327868852459,0.615826377295492,0.612585034013605,0.613200692041522,0.641675485008818,0.631867145421903
"f-measure sup",0.346377126258368,0.350785715846652,0.354608111119117,0.350170925303078,0.356712786264009,0.348627888729932,0.352675488071161,0.359450784662039,0.35079683241788,0.355037275036293,0.355798305860653,0.345226763351302,0.347920054456568,0.347554790993791,0.343052837858213,0.344833326432066,0.346742310065032,0.339853340243876,0.340023111654161
"precision Semi",0.271739130434783,0.18213058419244,0.260894495412844,0.200918484500574,0.266666666666667,0.215765247410817,0.258640552995392,0.269319492502884,0.263279445727483,0.261271676300578,0.261574074074074,0.263462651997684,0.271884057971015,0.257690075449797,0.257408483439861,0.260616637579988,0.274315666860804,0.242565597667638,0.248686514886165
"recall Semi",0.623359580052493,0.419525065963061,0.603448275862069,0.466666666666667,0.621983914209115,0.50471063257066,0.607577807848444,0.635374149659864,0.623803009575923,0.621733149931224,0.625172890733057,0.631944444444444,0.655027932960894,0.623595505617977,0.625706214689266,0.636363636363636,0.672857142857143,0.597701149425287,0.614718614718615
"f-measure Semi",0.378486055776892,0.253993610223642,0.364291433146517,0.280898876404494,0.373290426387772,0.30229746070133,0.362828282828283,0.37829080599433,0.370280146163216,0.367928367928368,0.368829049367605,0.371883939517777,0.384268742318722,0.364681724845996,0.364759160148209,0.369789517127528,0.389739346297062,0.345085026959768,0.354114713216958
