"","semi.mad","","","","","","","","",""
"0.01",0.0230220909245554,0.00284115206984107,0.018804778572427,0.0799544876648186,0.00256392563309602,0.0154924115999533,0.0940945928638114,0.00225999815673862,0.0140732962632996,0.0423424318761329
"0.015",0.0252524244745901,0.00392495653938814,0.0230649344193339,0.0830026549948082,0.00269373936408419,0.0172791122670433,0.116214935064935,0.00221080800296413,0.0145436523156724,0.0384000174879585
"0.02",0.015024906491632,0.00652107836774406,0.0261515221520587,0.0654910034788934,0.00367473081185058,0.0205593771561187,0.080609748269878,0.00267429379209333,0.0158974380830042,0.0896511383963408
"0.025",0.0135809996338339,0.00895016057078481,0.0210863615471273,0.0406762045812993,0.00576319782690142,0.0241473434535104,0.0773215975839687,0.00527724808489146,0.0161155278945671,0.112367796971117
"0.03",0.012570610888979,0.0253119695482827,0.0253048449086954,0.0155744621376903,0.00442035502578502,0.0192553945138774,0.0421889385931105,0.00447519432940427,0.0172894327862788,0.0533827568364694
"0.035",0.0100355723355739,0.0215431602391159,0.0221695689357626,0.0223716850952848,0.00683364638436618,0.0181633639636763,0.0309684801924355,0.00404467459499953,0.0112882980616162,0.0466957836251834
"0.04",0.00905702798867712,0.0268472183945774,0.0271945967244993,0.0246806947356034,0.00571218041327373,0.0237299853340338,0.0285833103493565,0.00505873769678032,0.0160090492887609,0.0392304131795031
"0.045",0.0112069236804938,0.0362826709741006,0.0276763751847998,0.0168828440015332,0.0128858264163847,0.0218022393340732,0.025036214045192,0.00442428748391478,0.0164549598491077,0.0388100256241376
"0.05",0.0112920123164097,0.0495251214979876,0.0215502978736865,0.0167760624056048,0.00952523374617635,0.0187171377548405,0.0215171867256524,0.00724477974828381,0.0129578749089869,0.0374242671819742
"0.055",0.00909787472480869,0.0457923035066859,0.0201851968170745,0.0157655738395118,0.0187808363342046,0.0205298588688735,0.0229213794775021,0.00842007262069143,0.0200479277331805,0.0226320765748267
"0.06",0.00927810903245511,0.0440596346996548,0.0243096175721617,0.0160436448921291,0.0256740060693376,0.0190891380314502,0.0191065862275083,0.0104807755204275,0.0197827165200935,0.0170784527997328
"0.065",0.00874184486756994,0.0410700549791177,0.0223561483620464,0.0156529722983555,0.0134236102650584,0.0180676732987979,0.0207578092555493,0.00872857744584751,0.0124796670923869,0.021736172577412
"0.07",0.01206501010537,0.0383021032749747,0.0188467690691945,0.0149157562244314,0.0162127151870099,0.0204727662179733,0.0192217658664415,0.00830328065249176,0.015005959548803,0.0218935516315729
"0.075",0.00863610733402172,0.0376524452208285,0.022116336098229,0.0189706324504342,0.0281862606126215,0.0227787347576543,0.0158722260803257,0.00944424547136734,0.0182675265387612,0.0194742172282821
"0.08",0.00850125582607728,0.0331609343279354,0.0185828726216892,0.0167600420187904,0.0283820550556106,0.0212988902024173,0.0160271828029628,0.00613105263157894,0.0179522349888805,0.0268901914998764
"0.085",0.010994051983123,0.0337114662910619,0.0164689230805959,0.015255822669977,0.0227088359004636,0.0211942804640747,0.0141649131693956,0.0064169477072274,0.0162707871086402,0.0186271207624463
"0.09",0.0097985613328451,0.0360413567980692,0.0224000225261465,0.0128200341914722,0.0271471263466844,0.0218655451566515,0.0146201367311818,0.00781824139466816,0.0154532111726156,0.0224130406566139
"0.095",0.00850976969406188,0.0338410460955809,0.0179332597505857,0.0165243471710746,0.0256039175475549,0.0174064165224797,0.015568084443508,0.0093497543529759,0.0141856614034603,0.0183801821382813
"0.1",0.0113029093572118,0.0302913985255319,0.0201875927706684,0.0165890068298937,0.0317534272300469,0.0183769623144271,0.015074054054054,0.0129993324063275,0.0164800759172872,0.0169950061301995
