"","1","1.5","2","2.5","3","3.5","4","4.5","5","5.5","6","6.5","7","7.5","8","8.5","9","9.5","10"
"precision sup",0.289410221741501,0.273951616715419,0.310775952877847,0.285603080087137,0.31617083031001,0.323391345661664,0.326285111616105,0.303820226300132,0.323375715290337,0.340863246638116,0.32484780616882,0.305278067495439,0.342787446387901,0.323248368610584,0.278000884900381,0.309626416253638,0.320753201368729,0.302941115887868,0.303778428192984
"recall sup",0.167733631406022,0.212,0.323924731182796,0.389210449478728,0.419572152373804,0.498206213675827,0.458975094215959,0.491836360300862,0.42162204234122,0.478218338333116,0.536999517607332,0.566524736415247,0.474245518493306,0.560634920634921,0.636584883260784,0.629463019250253,0.521297795491344,0.664950904392765,0.582539682539683
"f-measure sup",0.268258755286982,0.291877034206734,0.324602354809857,0.343970510205886,0.274609256645831,0.289186475619665,0.289432574204833,0.295757327363466,0.282042401435255,0.273845049296807,0.315504127748005,0.319210831957687,0.319850846180457,0.327064397767523,0.340857154378218,0.327763817497604,0.311337685624782,0.342931393591224,0.33945021826157
"precision Semi",0.271981242672919,0.073394495412844,0.256563245823389,0.16,0.267253044654939,0.216132368148914,0.259450171821306,0.272366930917327,0.259763313609467,0.259894459102902,0.275760549558391,0.270422535211268,0.2768,0.276295133437991,0.258402203856749,0.265352112676056,0.274193548387097,0.203513909224012,0.251572327044025
"recall Semi",0.608923884514436,0.0105540897097625,0.570291777188329,0.00533333333333333,0.529490616621984,0.843876177658143,0.612990527740189,0.654421768707483,0.600547195622435,0.541953232462173,0.77731673582296,0.666666666666667,0.724860335195531,0.741573033707865,0.662429378531073,0.669034090909091,0.704285714285714,0.998563218390805,0.634920634920635
"f-measure Semi",0.376012965964344,0.0184544405997693,0.353909465020576,0.0103225806451613,0.35521582733813,0.344127332601537,0.364587525150905,0.384646141543383,0.362660057827344,0.351315202853321,0.407098877218399,0.384769539078156,0.400617522192204,0.402592451391536,0.371779627427665,0.379991932230738,0.394715772618094,0.338117246412065,0.36036036036036
