"","1","1.5","2","2.5","3","3.5","4","4.5","5","5.5","6","6.5","7","7.5","8","8.5","9","9.5","10"
"precision sup",0.396291354885125,0.477561252838013,0.504681031070288,0.558693979282531,0.613725346503414,0.660311993212911,0.623673708947994,0.666221071984988,0.696940548683462,0.74386466984263,0.72989408721077,0.730945282111291,0.765544558724883,0.731899655829229,0.778154483341206,0.764528062463852,0.776274116291118,0.769386161300015,0.771773403694191
"recall sup",0.443018372703412,0.264775725593668,0.200968169761273,0.126893333333333,0.0481501340482574,0.016514131897712,0.0571989174560217,0.0105034013605442,0.0106019151846785,0.0115405777166437,0.0197510373443983,0.00870833333333333,0.0212150837988827,0.0194662921348315,0.0178389830508475,0.0112784090909091,0.00585714285714286,0.00551724137931035,0.0123520923520924
"f-measure sup",0.187245117648084,0.120337630889487,0.097229429654641,0.0660978462588661,0.0458026631241225,0.0292458972375748,0.0517371638754861,0.0189367403275599,0.0196444203609662,0.0135547711427703,0.0217145831191269,0.0166801893060518,0.0218943222005144,0.0246975996165951,0.0218736929209938,0.0155544437365535,0.0113498635221279,0.0106845274016717,0.0175326808133121
"precision Semi",0.182449082827659,0.185765357032865,0.186036370308458,0.188132102926912,0.190613257758378,0.202886187468028,0.198859624571204,0.211037704810978,0.192077885663801,0.22837900210852,0.219356301707373,0.23027233442018,0.241007744451301,0.219385488157106,0.252354049431404,0.218935477954155,0.256725925152432,0.234653314438196,0.255491130309536
"recall Semi",0.0977690288713911,0.0969129287598945,0.0969496021220159,0.127906666666667,0.143083109919571,0.154966352624495,0.152178619756428,0.213455782312925,0.187920656634747,0.214662998624484,0.238160442600277,0.207111111111111,0.200446927374302,0.180294943820225,0.192485875706215,0.2421875,0.192671428571429,0.235991379310345,0.272236652236652
"f-measure Semi",0.113390691764024,0.112754956703273,0.113633368370106,0.130037116780896,0.140411731962581,0.145155715118959,0.147655543717215,0.171375059030094,0.157489351861311,0.171708256406177,0.186162588783698,0.165983704534449,0.154420305355516,0.150892710256453,0.158054703636661,0.177801645487858,0.15297992056435,0.17378098060736,0.189142960706198
