"","1","1.5","2","2.5","3","3.5","4","4.5","5","5.5","6","6.5","7","7.5","8","8.5","9","9.5","10"
"precision sup",0.236874717783926,0.248183237637987,0.25154775756442,0.293990570164091,0.33450431630125,0.336123327982853,0.326171274044193,0.377547750411314,0.419276409263854,0.441411672529317,0.424350237545897,0.328610532817624,0.423328029758827,0.410636889417559,0.396674475186757,0.395577154756222,0.464751344556669,0.440695975331605,0.448352966356175
"recall sup",0.502817089452604,0.496842818428184,0.582214580467675,0.423882681564246,0.0976203966005666,0.0863936781609195,0.0855620437956204,0.117388724035608,0.0800603318250377,0.0520092024539877,0.0723520249221184,0.0940348101265823,0.0367471819645733,0.0385573770491803,0.0608848080133556,0.0557823129251701,0.0525432525951557,0.0427513227513227,0.0435008976660682
"f-measure sup",0.208109112409324,0.198873841766366,0.230345491319942,0.175557524139783,0.0922679596267611,0.0959608973797813,0.0747826918835257,0.08230693579182,0.0713355066771247,0.0565618326720341,0.0771397825011405,0.0747656767730116,0.0401011760533107,0.0451455977513906,0.0484776136524395,0.0463939412579095,0.0469191875026903,0.0305569659772866,0.0394119494793756
"precision Semi",0.2830099384761,0.218141870684244,0.255242660275614,0.202858713578889,0.249903735078937,0.208706022659511,0.225662304500479,0.26815144766147,0.260515021459227,0.242765877489666,0.262029746281715,0.260811413285778,0.267539756782039,0.26712962962963,0.262065386611313,0.264953271028037,0.261838440111421,0.33648393194707,0.254919499105546
"recall Semi",0.784776902887139,0.91688654353562,0.564986737400531,0.492,0.869973190348525,0.471063257065949,0.956698240866035,0.819047619047619,0.830369357045144,0.888583218707015,0.828492392807746,0.8125,0.798882681564246,0.810393258426966,0.713276836158192,0.805397727272727,0.805714285714286,0.255747126436782,0.822510822510823
"f-measure Semi",0.416,0.352434077079108,0.351630210482873,0.287271311794473,0.388274005384385,0.289256198347107,0.365185950413223,0.404026845637584,0.396602417510617,0.381345926800472,0.398138916583583,0.394870064124198,0.400840925017519,0.401810584958217,0.383301707779886,0.39873417721519,0.395234758234057,0.290612244897959,0.389211334926596
