"","1","1.5","2","2.5","3","3.5","4","4.5","5","5.5","6","6.5","7","7.5","8","8.5","9","9.5","10"
"precision sup",0.293606435769217,0.34271616348682,0.387275165318218,0.409644316863333,0.514843819680122,0.545261457316602,0.584039899832392,0.538525259998894,0.591605458157442,0.598491249828948,0.631694968894923,0.586862243418431,0.650581580722387,0.611095251606226,0.575008131714668,0.67293023479014,0.627348370120802,0.61833654533853,0.648262284655692
"recall sup",0.496314398943197,0.457693333333333,0.301747311827957,0.319294436906377,0.0600684931506849,0.0574309392265193,0.0530222841225627,0.0539240506329114,0.0413068181818182,0.0326829268292683,0.0432850940665702,0.0217518248175182,0.031165191740413,0.0252678571428571,0.0265864661654135,0.0090273556231003,0.0472657450076805,0.0188992248062016,0.0350078247261346
"f-measure sup",0.198082125464893,0.183257876207626,0.12741037712302,0.135652211307088,0.0527154950775325,0.0547673591052961,0.0482212823422232,0.0413067836303678,0.0398300882175608,0.035303742025496,0.0326973705398136,0.0169476365192963,0.0229357412825199,0.0200503532170813,0.0224010749491953,0.0111418687299608,0.0411031542713092,0.0174089237137414,0.0260912861148407
"precision Semi",0.294117647058824,0.183496826312752,0.199275362318841,0.189438390611903,0.284306292645944,0.251824817518248,0.274242424242424,0.277082199237888,0.279796511627907,0.281004709576138,0.275964391691395,0.260416666666667,0.276790248857288,0.245258338783519,0.250945775535939,0.249533291848164,0.271679197994987,0,0.249303621169916
"recall Semi",0.465879265091864,0.419525065963061,0.0729442970822281,0.301333333333333,0.502680965147453,0.278600269179004,0.734776725304465,0.692517006802721,0.526675786593707,0.492434662998624,0.771784232365145,0.590277777777778,0.761173184357542,0.526685393258427,0.281073446327684,0.569602272727273,0.774285714285714,0,0.516594516594517
"f-measure Semi",0.360589131538852,0.25531914893617,0.106796116504854,0.232629953679876,0.36319612590799,0.264536741214058,0.399411548363369,0.395800933125972,0.365448504983389,0.357821089455272,0.40655737704918,0.361394557823129,0.405959031657356,0.334672021419009,0.265156562291806,0.34703591518823,0.402226345083488,0,0.336308125880695
