"","1","1.5","2","2.5","3","3.5","4","4.5","5","5.5","6","6.5","7","7.5","8","8.5","9","9.5","10"
"precision sup",0.256199852285893,0.278103617773143,0.322512259917877,0.304221433143068,0.428187039643458,0.462819725397269,0.427551741427708,0.473140334324296,0.492091319181342,0.503523317521165,0.547124985585488,0.524989860099247,0.533598453650385,0.507450536499203,0.544377152932411,0.574115187180213,0.595104062267352,0.618660815902948,0.528262828510645
"recall sup",0.0520079260237781,0.05116,0.0244623655913979,0.0206784260515604,0.0351232876712329,0.0340055248618785,0.0366713091922006,0.0317158931082982,0.0382102272727273,0.0181635581061693,0.0143125904486252,0.019985401459854,0.0136430678466077,0.0130059523809524,0.0127067669172932,0.00810030395136778,0.0181413210445469,0.0131317829457364,0.00793427230046948
"f-measure sup",0.0864638980759266,0.086421823227835,0.0454754453484273,0.0387246730370554,0.0649212231363697,0.0633559895369864,0.0675489167744781,0.0594468977632146,0.0709140724577684,0.0350623159710848,0.0278954461801796,0.0385049885986364,0.0266058755413249,0.025361880020357,0.0248338656024322,0.0159752105194505,0.0352093114511558,0.0257176787644373,0.0156337328988885
"precision Semi",0.224996429934899,0.243045806435313,0.271467321509575,0.274405563542395,0.263225578011546,0.27978481078665,0.2865621123856,0.304472012472392,0.293766042528086,0.31533156116181,0.293914732143896,0.306735435104364,0.32075998949702,0.316504721689696,0.317979812820264,0.306408589654357,0.318052227630913,0.317320543794686,0.33284589765589
"recall Semi",0.134304461942257,0.161688654353562,0.189986737400531,0.19556,0.178364611260054,0.197012113055182,0.216847090663058,0.263170068027211,0.236976744186047,0.253548830811554,0.245615491009682,0.261722222222222,0.275083798882682,0.26872191011236,0.28364406779661,0.257329545454545,0.267885714285714,0.282787356321839,0.282727272727273
"f-measure Semi",0.168204561382869,0.194190281263454,0.223533371214803,0.228368868569281,0.212641172908195,0.231213726505113,0.24687733155753,0.28231846435422,0.262333175516983,0.281085267759774,0.26760321536224,0.282446647257292,0.296171171576202,0.290662621111896,0.29983213928631,0.279732656666529,0.29082140644578,0.299060344544318,0.305746310626681
