"","1","1.5","2","2.5","3","3.5","4","4.5","5","5.5","6","6.5","7","7.5","8","8.5","9","9.5","10"
"precision sup",0.234901052953518,0.268218289082865,0.33863921639746,0.358825264098279,0.443794579873019,0.445882150461816,0.469579817807957,0.468220544644011,0.500101441655524,0.50411946337867,0.524527262578103,0.516313107704188,0.521569897939224,0.522681393440153,0.537446807389532,0.539494640290867,0.557608361499164,0.54191801125086,0.538144376069691
"recall sup",0.13245406824147,0.172137203166227,0.145901856763926,0.147453333333333,0.211849865951743,0.23185733512786,0.19830852503383,0.18778231292517,0.180642954856361,0.185612104539202,0.15850622406639,0.165777777777778,0.17177374301676,0.183188202247191,0.182161016949153,0.171519886363636,0.164885714285714,0.17757183908046,0.181919191919192
"f-measure sup",0.169392494089574,0.209695788668116,0.203937677039874,0.209015279507848,0.286795145920714,0.305076063547362,0.278854039161482,0.268058395837286,0.265414750709601,0.271324900553283,0.243445855691724,0.250973122364063,0.258434658722362,0.271293920002666,0.272097811276924,0.260287394779051,0.254511852924458,0.267493357534724,0.271917076165607
"precision Semi",0.260875618298782,0.263001256415441,0.268999959418396,0.271460730804005,0.268870116992906,0.271702634699126,0.267678209437407,0.268965167386593,0.271577110273573,0.266742506375807,0.266612281278066,0.265383987268736,0.265386528004797,0.2627410992155,0.261812164785625,0.261405892143662,0.262876229592671,0.261348225032036,0.26625106554652
"recall Semi",0.7299343832021,0.715435356200528,0.763448275862069,0.777573333333333,0.787184986595174,0.762664872139973,0.80212449255751,0.788816326530612,0.776114911080711,0.784085281980743,0.793803596127248,0.788875,0.797304469273743,0.790407303370786,0.797104519774011,0.807855113636364,0.790985714285714,0.784454022988506,0.762756132756133
"f-measure Semi",0.384376587331448,0.384614384087075,0.397826347524635,0.402428543622085,0.400832340512904,0.400666211540492,0.401403450399404,0.401149228876924,0.402360694737515,0.398064983901929,0.399159975175146,0.397160082076224,0.398222748485006,0.394384083393384,0.394160679353593,0.394998200741228,0.394608313623837,0.392073486006236,0.394719557712426
