"","semi.mad","","","","","","","","",""
"0.01",0.011195613357283,0.00224500302846758,0.0137650345944184,0.0698426198574289,0.00208235602170613,0.0121091688061617,0.0702017472867313,0.0021584211442557,0.00935195334500733,0.0789022037213399
"0.015",0.0236628230644155,0.00368509808420324,0.0214662414733368,0.123474771666328,0.00315047848703023,0.0155652461331771,0.0808647132178167,0.00287950692849202,0.0158360063727307,0.0821895432382364
"0.02",0.0197182097773184,0.0130774137485149,0.0211446590417041,0.0616777371637162,0.00464599928913421,0.018402068828535,0.066910139246064,0.0025497010696664,0.0160702363230369,0.0941635456559059
"0.025",0.0197021307945809,0.0174378553511077,0.0237186307172362,0.0452552097634246,0.00802360479942959,0.0199692303508623,0.0542296084675909,0.00528288617045224,0.021280014268243,0.0983338502655902
"0.03",0.0218017211776613,0.0525993391673832,0.0308504393747786,0.0260274333552532,0.00970951369389543,0.0192232725871277,0.0320886711079301,0.00582053319836806,0.0187113325591672,0.0393005022145947
"0.035",0.0192049509322454,0.03669922274052,0.0250851134616052,0.0256184124667867,0.0138895189628263,0.024896206713608,0.0338410019418674,0.00446233121078751,0.0144409691918719,0.0329952582950962
"0.04",0.0173048811594835,0.042054202134742,0.0237563929238287,0.0223978681996514,0.0143212109272393,0.0190296548025567,0.0285102902547939,0.00647244979906987,0.015149259198366,0.0294402908507994
"0.045",0.01488261442695,0.0530808552811696,0.0281990231615836,0.0241914110496633,0.012781378460915,0.0238336933893338,0.0250530352515036,0.00382318944394505,0.017642900639562,0.0247539142112204
"0.05",0.0157961921716563,0.0513430590765679,0.0199801187699168,0.0164567900492635,0.0220931900131586,0.024701237888135,0.0173117689090349,0.00632512644320785,0.0143967909754005,0.0288951855692219
"0.055",0.0158618218054767,0.0326559055781137,0.021526451846021,0.0186657662305271,0.0175391546631811,0.0213989558265958,0.0237511725580409,0.00857119481808283,0.01436679218866,0.0192923167462238
"0.06",0.0154010678076062,0.0362907463062784,0.0206435710500123,0.0200889926771888,0.0288974588480519,0.0219656557490114,0.0174441383379825,0.00802366681509522,0.0171976978737615,0.0211418627963932
"0.065",0.0171029210911753,0.0484150073414252,0.0239613953602193,0.0225173986883321,0.017981132867806,0.0208345062251959,0.0144493809660547,0.00756278860874056,0.0184269039422825,0.0237408779423332
"0.07",0.00898175080648621,0.0391364856156248,0.0194080511811023,0.0152495906831478,0.0316212158623207,0.0186328397873318,0.0179678562117668,0.010719027235217,0.0186766559451315,0.0200681700845135
"0.075",0.0105762101999926,0.0400565291481216,0.0210117347256374,0.019925673846058,0.0284541764537674,0.0216170651293258,0.0191439958264397,0.00748552176665373,0.0163522058823529,0.0201708146669264
"0.08",0.011710600667788,0.0291257081818612,0.0208335996883999,0.0147147219205893,0.0415787823590436,0.0236038782600303,0.0214704974788293,0.0106366654311837,0.0165295935260686,0.018127993575488
"0.085",0.010468524422872,0.040742729421314,0.0239678977272728,0.0172391723166539,0.0363186854360047,0.022821488784162,0.0187439723385747,0.010976008443757,0.0151154177987711,0.0161512661455503
"0.09",0.00918006810692047,0.03193741230893,0.0171007626709573,0.0137891512469832,0.0354611713501026,0.0186605092057803,0.018227549741861,0.00970171661258505,0.0167495883438315,0.0166844550486735
"0.095",0.0136522913799417,0.0320525457538221,0.0220578836416136,0.0190250592846781,0.027755496103521,0.0161693584014678,0.0218197408275922,0.0115536087529611,0.0159736168643825,0.0209179400676567
"0.1",0.00914393107197947,0.0299127832433364,0.019031292995044,0.0189686256379909,0.0369514541301865,0.0183402334729094,0.0189113221672376,0.0104269904458598,0.0123024447908256,0.0231746305059657
