"","1","1.5","2","2.5","3","3.5","4","4.5","5","5.5","6","6.5","7","7.5","8","8.5","9","9.5","10"
"precision sup",0.16388597135007,0.186354934847815,0.222309407026096,0.234578662491534,0.293347266386671,0.289904782155744,0.297309879919059,0.297426067327203,0.304270401845617,0.306128556948739,0.308134985012097,0.308538484629083,0.310181362203024,0.306335725925882,0.315100069709077,0.311342668497649,0.314928919611468,0.314394475916048,0.31530361867748
"recall sup",0.438464566929134,0.50311345646438,0.555026525198939,0.560146666666667,0.682077747989276,0.698196500672947,0.707686062246279,0.686367346938776,0.702872777017784,0.704195323246217,0.705255878284924,0.710583333333333,0.712779329608939,0.701123595505618,0.718686440677966,0.712286931818182,0.718014285714286,0.717959770114942,0.718571428571429
"f-measure sup",0.238592603101356,0.271970917251301,0.317462792045513,0.330676401128272,0.410253253478107,0.409695864071832,0.418712254167924,0.415013025664784,0.424693105802293,0.426742953108892,0.428884880169528,0.430257307821535,0.432256811386647,0.426377921220279,0.438113953473452,0.433292108825013,0.437823613340462,0.437296764210369,0.438289273562999
"precision Semi",0.279387521465369,0.277317267138642,0.284348823866896,0.288489373923033,0.288585393904543,0.289153713298791,0.288027042191795,0.282040953443935,0.286083188908146,0.283979178716021,0.28460914881297,0.283319814600232,0.284309744779582,0.281660859465737,0.278232558139535,0.282165308498254,0.279895104895105,0.278086347724621,0.278843457943925
"recall Semi",0.640538057742782,0.638416886543536,0.657320954907162,0.66968,0.672721179624665,0.675989232839838,0.676224627875507,0.665006802721088,0.677441860465116,0.675378266850069,0.679834024896266,0.679180555555556,0.684567039106145,0.681207865168539,0.675932203389831,0.688579545454545,0.686142857142857,0.684827586206897,0.688860028860029
"f-measure Semi",0.389071343164607,0.386671231076219,0.396972366840208,0.403259735046166,0.403903420523139,0.405048387096774,0.403983701497007,0.396092280384383,0.402282696994314,0.399837133550489,0.401240816326531,0.399844644317253,0.401762295081967,0.398537387017255,0.394200988467875,0.400297274979356,0.397599337748344,0.395551867219917,0.396989604989605
