"","1","1.5","2","2.5","3","3.5","4","4.5","5","5.5","6","6.5","7","7.5","8","8.5","9","9.5","10"
"precision sup",0.173565455269131,0.179960217896847,0.198247577037686,0.198822617201906,0.275349003272577,0.280751254081479,0.277011775415303,0.274938442770438,0.280196938777673,0.280247978846288,0.28488928139162,0.282667755672809,0.287575607567916,0.282631507501203,0.28638038522764,0.285885154079211,0.282227704684541,0.283241142259962,0.284750339521159
"recall sup",0.48225891677675,0.485813333333333,0.507244623655914,0.504084124830393,0.667835616438356,0.680207182320442,0.680055710306407,0.687819971870605,0.706889204545455,0.686814921090387,0.688393632416787,0.690496350364963,0.696769911504425,0.693154761904762,0.707804511278195,0.700759878419453,0.708141321044547,0.708604651162791,0.710156494522692
"f-measure sup",0.255261902471959,0.26263306243487,0.285077616751292,0.285168199408466,0.389929749686941,0.397455315937974,0.393668038051122,0.392846531583976,0.401318957840506,0.398068199058526,0.402998890602926,0.401126700927365,0.407121334437044,0.40153747071691,0.407773904669294,0.406097105272246,0.403601272734779,0.404712087578566,0.406505003300801
"precision Semi",0.279387521465369,0.277317267138642,0.284348823866896,0.288489373923033,0.288585393904543,0.289153713298791,0.288027042191795,0.282040953443935,0.286083188908146,0.283979178716021,0.28460914881297,0.283319814600232,0.284309744779582,0.281660859465737,0.278232558139535,0.282165308498254,0.279895104895105,0.278086347724621,0.278843457943925
"recall Semi",0.640538057742782,0.638416886543536,0.657320954907162,0.66968,0.672721179624665,0.675989232839838,0.676224627875507,0.665006802721088,0.677441860465116,0.675378266850069,0.679834024896266,0.679180555555556,0.684567039106145,0.681207865168539,0.675932203389831,0.688579545454545,0.686142857142857,0.684827586206897,0.688860028860029
"f-measure Semi",0.389071343164607,0.386671231076219,0.396972366840208,0.403259735046166,0.403903420523139,0.405048387096774,0.403983701497007,0.396092280384383,0.402282696994314,0.399837133550489,0.401240816326531,0.399844644317253,0.401762295081967,0.398537387017255,0.394200988467875,0.400297274979356,0.397599337748344,0.395551867219917,0.396989604989605
