"","1","1.5","2","2.5","3","3.5","4","4.5","5","5.5","6","6.5","7","7.5","8","8.5","9","9.5","10"
"precision sup",0.25732684775609,0.300835726799541,0.409887954176062,0.419380737143106,0.528816261626501,0.509788386968714,0.541069249907732,0.54848676157909,0.583762380043057,0.592248047934171,0.602327322078317,0.600988385360724,0.604551603159472,0.597884997945082,0.635388875094966,0.606690341416418,0.619440362218006,0.62544601987151,0.60224985883801
"recall sup",0.0649343832020997,0.0803430079155673,0.0431167108753316,0.0385333333333333,0.0747855227882038,0.0892328398384926,0.0689715832205683,0.0447755102040816,0.0425991792065663,0.0378404401650619,0.0277040110650069,0.0372083333333333,0.0362709497206704,0.0314606741573034,0.0335593220338983,0.02625,0.0259142857142857,0.0297844827586207,0.03002886002886
"f-measure sup",0.103700715662879,0.126817395506628,0.078025776663847,0.070581529504435,0.131039375978617,0.151880646127899,0.122347229141145,0.0827923020153356,0.0794039732300856,0.0711358078873461,0.0529715965469852,0.0700780042170149,0.0684359834191078,0.0597759417048319,0.0637514832018023,0.0503226620902122,0.0497473895350706,0.056861169071143,0.0572053943104645
"precision Semi",0.272744530562001,0.273574642041426,0.290547313207466,0.292670478981765,0.290615585740373,0.29713513825779,0.298449813431158,0.291291305311287,0.295486378812577,0.291345033177305,0.285988180749387,0.286707023199175,0.294169835182378,0.290580740466185,0.285064281615848,0.284701841749815,0.288652814250918,0.292481059918411,0.294995261586339
"recall Semi",0.507152230971129,0.479934036939314,0.535676392572944,0.562626666666667,0.581487935656836,0.559865410497981,0.585548037889039,0.565659863945578,0.554021887824897,0.548707015130674,0.559681881051176,0.557666666666667,0.581536312849162,0.572879213483146,0.5625,0.592485795454545,0.560457142857143,0.567083333333333,0.54995670995671
"f-measure Semi",0.354721301541951,0.348497067178506,0.376748659041991,0.385045634395072,0.38754448956044,0.388227723764224,0.395378116365273,0.384553533601687,0.385413368758065,0.380602758721582,0.378545747781169,0.37871134985935,0.39070284407149,0.385582829383624,0.378375214451501,0.384596841136773,0.381052018524745,0.385919043872778,0.3840091010583
