"","1","1.5","2","2.5","3","3.5","4","4.5","5"
"prec_50_avg",0.243289328916342,0.229108712747734,0.255891376187514,0.249585435860369,0.247527804813328,0.253467393102406,0.249742296125827,0.243118523212695,0.249917060467578
"prec_md_avg",0.226753526956116,0.225573789798032,0.238343946969008,0.235148605248343,0.23199083417945,0.226642615771452,0.22305827596796,0.220765037624694,0.224802180737646
"prec_80_avg",0.244108771120083,0.237777706236495,0.283811871164676,0.265204434125023,0.274369026486327,0.27239480417436,0.280070983868176,0.273720183027435,0.276325215190198
"prec_95_avg",0.330397532231377,0.264398950028019,0.298604371547307,0.270614616519965,0.287191062978468,0.307265308735455,0.341557867299939,0.317338593973088,0.350231979293626
