"","1","1.5","2","2.5","3","3.5","4","4.5","5","5.5","6","6.5","7","7.5","8","8.5","9","9.5","10"
"precision sup",0.151425136854786,0.168082156716971,0.173632031046798,0.162573914097145,0.339063790184914,0.307281240255381,0.32451445991128,0.303574440627657,0.325231104929463,0.357506183771788,0.332310742946128,0.368725048258696,0.328841669544617,0.397202858844845,0.3783471808142,0.380179491927697,0.380763909350775,0.40773267019986,0.404233124141627
"recall sup",0.0590253671562083,0.0373848238482385,0.0461760660247593,0.0622905027932961,0.0678045325779037,0.0530603448275862,0.0568759124087591,0.0787091988130564,0.0858521870286576,0.0599693251533742,0.0688006230529595,0.0736392405063291,0.0617874396135266,0.0655081967213115,0.0868614357262104,0.0339795918367347,0.0437024221453287,0.0773721340388007,0.0492639138240574
"f-measure sup",0.0849408685575387,0.0611652714573444,0.0729513083134504,0.0900703720955486,0.113009838915292,0.0904944044315332,0.0967882638725957,0.125007185956909,0.135844984187709,0.102709759593565,0.113999193739813,0.122761412704599,0.104028523850605,0.112467781793708,0.141286202189812,0.0623834872483352,0.0784057715272807,0.130063221535036,0.0878246344535089
"precision Semi",0.272744530562001,0.273574642041426,0.290547313207466,0.292670478981765,0.290615585740373,0.29713513825779,0.298449813431158,0.291291305311287,0.295486378812577,0.291345033177305,0.285988180749387,0.286707023199175,0.294169835182378,0.290580740466185,0.285064281615848,0.284701841749815,0.288652814250918,0.292481059918411,0.294995261586339
"recall Semi",0.507152230971129,0.479934036939314,0.535676392572944,0.562626666666667,0.581487935656836,0.559865410497981,0.585548037889039,0.565659863945578,0.554021887824897,0.548707015130674,0.559681881051176,0.557666666666667,0.581536312849162,0.572879213483146,0.5625,0.592485795454545,0.560457142857143,0.567083333333333,0.54995670995671
"f-measure Semi",0.354721301541951,0.348497067178506,0.376748659041991,0.385045634395072,0.38754448956044,0.388227723764224,0.395378116365273,0.384553533601687,0.385413368758065,0.380602758721582,0.378545747781169,0.37871134985935,0.39070284407149,0.385582829383624,0.378375214451501,0.384596841136773,0.381052018524745,0.385919043872778,0.3840091010583
