"","1","1.5","2","2.5","3","3.5","4","4.5","5","5.5","6","6.5","7","7.5","8","8.5","9","9.5","10"
"precision sup",0.245682163478353,0.262112970637735,0.315140538116543,0.324534831743757,0.436809259918409,0.454684134840059,0.468527179522605,0.481354274122689,0.478417760806694,0.50430893680791,0.513113230220953,0.531218166857891,0.53175409440363,0.511653262776026,0.542691758913806,0.539446523274709,0.546479198133403,0.572859856613164,0.539149973628104
"recall sup",0.0751519154557464,0.0738133333333333,0.0471639784946237,0.0590909090909091,0.0673972602739726,0.0586602209944751,0.0547075208913649,0.049704641350211,0.0545880681818182,0.0377331420373027,0.0268162083936324,0.0435474452554745,0.0264601769911504,0.0277232142857143,0.0221804511278196,0.0220212765957447,0.0307066052227343,0.0278294573643411,0.0223161189358372
"f-measure sup",0.115096782985467,0.115188550845602,0.0820485579453284,0.0999779535006161,0.116776543744692,0.103914152475835,0.097975002199303,0.0901050367880711,0.0979948057824016,0.07021285426325,0.0509687019342429,0.080496096330115,0.0504118514151644,0.0525965578669497,0.0426190130159566,0.0423151642904048,0.0581459935498961,0.0530802815511901,0.0428582779800477
"precision Semi",0.272744530562001,0.273574642041426,0.290547313207466,0.292670478981765,0.290615585740373,0.29713513825779,0.298449813431158,0.291291305311287,0.295486378812577,0.291345033177305,0.285988180749387,0.286707023199175,0.294169835182378,0.290580740466185,0.285064281615848,0.284701841749815,0.288652814250918,0.292481059918411,0.294995261586339
"recall Semi",0.507152230971129,0.479934036939314,0.535676392572944,0.562626666666667,0.581487935656836,0.559865410497981,0.585548037889039,0.565659863945578,0.554021887824897,0.548707015130674,0.559681881051176,0.557666666666667,0.581536312849162,0.572879213483146,0.5625,0.592485795454545,0.560457142857143,0.567083333333333,0.54995670995671
"f-measure Semi",0.354721301541951,0.348497067178506,0.376748659041991,0.385045634395072,0.38754448956044,0.388227723764224,0.395378116365273,0.384553533601687,0.385413368758065,0.380602758721582,0.378545747781169,0.37871134985935,0.39070284407149,0.385582829383624,0.378375214451501,0.384596841136773,0.381052018524745,0.385919043872778,0.3840091010583
