"","1","1.5","2","2.5","3","3.5","4","4.5","5","5.5","6","6.5","7","7.5","8","8.5","9","9.5","10"
"precision sup",0.280000361242888,0.292987160152602,0.413010691222375,0.468771983863604,0.537759449490679,0.556000357851223,0.577777144356057,0.549296878637603,0.584425917629276,0.642053396568214,0.677756932780776,0.607254401685603,0.578071621615437,0.671625522068455,0.663581402948576,0.690676998869723,0.680402525252525,0.682707013632185,0.637985740265926
"recall sup",0.0376377952755906,0.0543931398416887,0.016604774535809,0.0174933333333333,0.0364879356568365,0.0464199192462988,0.0400541271989175,0.0133061224489796,0.0116552667578659,0.0113204951856946,0.00520055325034578,0.0106111111111111,0.0114664804469274,0.00625,0.00596045197740113,0.0046875,0.00444285714285714,0.00510057471264368,0.00476190476190476
"f-measure sup",0.0663559843632208,0.0917524198940564,0.03192598942649,0.0337280257548487,0.0683389518154486,0.0856859992718634,0.0749148199456447,0.0259828387473155,0.0228547390811644,0.0222487077507742,0.0103219046333342,0.0208577555974297,0.0224869161907904,0.01238475022706,0.0118147806780765,0.00931180247902872,0.00882806921691702,0.0101255007617945,0.00945325076832635
"precision Semi",0.224996429934899,0.243045806435313,0.271467321509575,0.274405563542395,0.263225578011546,0.27978481078665,0.2865621123856,0.304472012472392,0.293766042528086,0.31533156116181,0.293914732143896,0.306735435104364,0.32075998949702,0.316504721689696,0.317979812820264,0.306408589654357,0.318052227630913,0.317320543794686,0.33284589765589
"recall Semi",0.134304461942257,0.161688654353562,0.189986737400531,0.19556,0.178364611260054,0.197012113055182,0.216847090663058,0.263170068027211,0.236976744186047,0.253548830811554,0.245615491009682,0.261722222222222,0.275083798882682,0.26872191011236,0.28364406779661,0.257329545454545,0.267885714285714,0.282787356321839,0.282727272727273
"f-measure Semi",0.168204561382869,0.194190281263454,0.223533371214803,0.228368868569281,0.212641172908195,0.231213726505113,0.24687733155753,0.28231846435422,0.262333175516983,0.281085267759774,0.26760321536224,0.282446647257292,0.296171171576202,0.290662621111896,0.29983213928631,0.279732656666529,0.29082140644578,0.299060344544318,0.305746310626681
