"","1","1.5","2","2.5","3","3.5","4","4.5","5","5.5","6","6.5","7","7.5","8","8.5","9","9.5","10"
"precision sup",0.142157058071393,0.140056739476366,0.129791451783155,0.159969706906864,0.297256851974179,0.307180053442113,0.333372326536711,0.265054430241693,0.304113678473065,0.302872224234151,0.326293183417093,0.328693680607153,0.324509883302439,0.365791293154493,0.311088635857517,0.295932803006007,0.32221670037699,0.397484893033617,0.400501245368888
"recall sup",0.130734312416555,0.0995934959349594,0.0441127922971114,0.106620111731844,0.0678611898016997,0.0426867816091954,0.0499124087591241,0.0866023738872404,0.0676621417797888,0.0453527607361963,0.0644704049844237,0.10995253164557,0.0561674718196457,0.0622131147540984,0.0823539232053422,0.0537585034013605,0.0572318339100346,0.0611287477954145,0.0438420107719928
"f-measure sup",0.136206617372275,0.116409151777065,0.0658461601639608,0.127956784780555,0.110496887820503,0.074957249686507,0.086825350966495,0.130549687074131,0.110695648877986,0.0788920503248825,0.107667419907823,0.164782922132402,0.0957603570600664,0.106340099665192,0.130231816753568,0.0909882762623773,0.0971992300018531,0.105961757852716,0.0790325032325561
"precision Semi",0.261574074074074,0.271257905832748,0.271769273433167,0.258300506471581,0.195979899497487,0.253258845437616,0,0.181818181818182,0.198615160349854,0.174504950495049,0.189802754000744,0.204925241864556,0.204848484848485,0.238095238095238,0.160670625218302,0.175585284280936,0,0.164018892228424,0.155744336569579
"recall Semi",0.615803814713896,0.538354253835425,0.701001430615165,0.673020527859237,0.998493975903614,0.630602782071097,0,0.00980392156862745,0.917508417508417,0.977469670710572,0.912343470483005,0.859778597785978,0.643809523809524,0.00986193293885602,0.940695296523517,0.889830508474576,0,0.874141876430206,0.916666666666667
"f-measure Semi",0.367181153533712,0.360747663551402,0.391686650679456,0.373322488816592,0.327650111193477,0.361381753764393,0,0.0186046511627907,0.326542840023966,0.29614071934891,0.314232902033272,0.330965909090909,0.310804597701149,0.0189393939393939,0.274463007159905,0.293296089385475,0,0.276211135213304,0.266251728907331
